OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,zipcode,PRKTYPE,PRKCAT,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID,parklatitude,parklongitude
75,MACC,Matthews Community Center,100 E MCDOWELL ST,100,E,MCDOWELL,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1485035.915,500644.5184,Matthews,35.113161,-80.722521
66,HOBP,Holbrook Park,100 SHERWOOD DR,100,,SHERWOOD,DR,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1450161.494,610322.0658,Huntersville,35.412999,-80.845105
266,BJCC,Belle Johnston Community Center,1000 JOHNSTON DR,1000,,JOHNSTON,DR,,PINEVILLE,NC,28134,Recreation Center,RecCenter,Developed,South,,,,7048892400,,,,District 6,,,,1433803.316,488956.7933,Pineville,35.078633,-80.892896
40,HOWA,Howie Acres Park,1001 TREMBETH DR,1001, ,TREMBETH,DR, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1467294.476,550544.5533,Mecklenburg,35.250215,-80.785024
181,THRD,James Dennis Rash Park,1001 W 4TH ST EXT,1001,W,4TH,ST, ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 4,1998/07/28 00:00:00+00,,,1446096.741,544878.9741,Mecklenburg,35.232769,-80.855076
264,BALY,Bailey Rd,10020 BAILEY RD,10020, ,BAILEY,RD, ,CORNELIUS,NC,28031,Neighborhood,General,Undeveloped,North,,,,9803141001,,,,District 1,2017/01/10 00:00:00+00,,,1445354.768,625875.5319,Mecklenburg,35.455124,-80.863077
219,GCNP,Gar Creek Nature Preserve,10020 MCCOY RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 1,2002/05/13 00:00:00+00,,,1437984.069,592017.1112,Mecklenburg,35.360651,-80.878756
153,BLTN,Ballantyne Park,10082 COMMUNITY HOUSE RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Community,General,Developed,South,,,,9803141003,,,District 7,District 6,2002/03/18 00:00:00+00,,,1452428.668,475004.0866,Mecklenburg,35.040791,-80.82885
212,WIND,Windsor Park,10150 NORTHEAST PY,10150,,NORTHEAST,PY,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1489748.233,507423.4574,Matthews,35.131586,-80.707027
178,RMBL,Ramblewood Soccer Complex,10200 NATIONS FORD RD,10200, ,NATIONS FORD,RD, ,CHARLOTTE,NC,28273,Community,General,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431192.579,504991.6223,Mecklenburg,35.123876,-80.906771
298,BERR,Berryhill Nature Preserve,10334 WALKERS FERRY RD,0, ,NO ADDRESS,TR, ,CHARLOTTE,NC,28214,Nature Preserve,General,Undeveloped,South,,,,9803141003,,,,District 2,2002/03/18 00:00:00+00,,,1406298.001,539308.1399,Mecklenburg,35.217503,-80.988752
122,RAMA,Rama Road Park,1035 RAMA RD,1035, ,RAMA,RD, ,CHARLOTTE,NC,28211,Neighborhood,General,Developed,South,,,,9803141003,,,District 5,District 5,1998/07/28 00:00:00+00,,,1470618.598,521106.1547,Mecklenburg,35.169554,-80.772036
200,CADI,The Effortless Golf Center,10401 CADILLAC ST,0, , , , ,PINEVILLE,NC,28134,Golf Course,Golf,Developed,South,,,,9803141003,,,,District 6,2009/01/02 00:00:00+00,,,1437564.629,495633.6694,Mecklenburg,35.096609,-80.879349
104,IDLE,Idlewild Road Park,10512 IDLEWILD RD,10512, ,IDLEWILD,RD, ,MINT HILL,NC,28105,Regional,General,Developed,South,,,,9803141003,,,,District 6,1998/07/28 00:00:00+00,,,1491924.957,519129.3077,Mecklenburg,35.163343,-80.702248
191,FVRP,Fairview Road Park,10601 FAIRVIEW RD,0, , , ,NO,CHARLOTTE,NC,28227,Regional,General,Undeveloped,South,,,,9803141003,,,,District 6,2015/03/12 00:00:00+00,,,1519394.126,521412.4059,Mecklenburg,35.173825,-80.608239
7,HACC,Huntersville Arts & Cultural Center,109 S OLD STATESVILLE RD,109,S,OLD STATESVILLE,RD,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1450988.262,609278.6448,Huntersville,35.410141,-80.84254
61,PERL,Pearl Street Park,1100 BAXTER ST,1100, ,BAXTER,ST, ,CHARLOTTE,NC,28204,Neighborhood,General,Under Construction,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1451264.987,537295.9481,Mecklenburg,35.212647,-80.838006
245,ELZA,Elizabeth Park,1100 E TRADE ST,1100,E,TRADE,ST,NO,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,2001/08/21 00:00:00+00,,,1452640.746,539523.4959,Mecklenburg,35.220069,-80.835008
21,CROS,Forest Pawtuckett Park,1102 ASHFORD ST,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Neighborhood,General,Developed,North,,,,9803141001,,,District 3,District 2,2003/07/11 00:00:00+00,,,1419429.849,556645.6972,Mecklenburg,35.263006,-80.944683
154,LTLP,Little Peoples Park,1120 HARRILL ST,1200, ,HARRILL,ST, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 3,1998/07/28 00:00:00+00,,,1456404.896,543042.1736,Mecklenburg,35.228277,-80.820233
4,THMP,Thompson Park,1125 E 3RD ST,1125,E,3RD,ST,NO,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/09/02 00:00:00+00,,,1452180.288,538692.2129,Mecklenburg,35.216366,-80.833572
241,STMY,St. Marys Chapel,1129 E 3RD ST,1129,E,3RD,ST, ,CHARLOTTE,NC,28204,Event Venue,Venue,Developed,Central,,,,7043331235,,,District 1,District 4,1998/07/28 00:00:00+00,,,1452404.812,538524.2466,Mecklenburg,35.216194,-80.833156
74,FERL,Ferrelltown Nature Preserve,11355 ASBURY CHAPEL RD,11355,,ASBURY CHAPEL,RD,,HUNTERSVILLE,NC,28078,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 1,2019/11/19 10:00:08+00,,,1461125.098,599116.0029,Mecklenburg,35.382799,-80.808039
248,ELNC,Elon Recreation Center,11401 ARDREY KELL RD,11401, ,ARDREY KELL,RD, ,CHARLOTTE,NC,28277,Recreation Center,RecCenter,Developed,South,,,,9803141103,,,District 7,District 6,2008/01/16 00:00:00+00,,,1449679.655,467223.1742,Mecklenburg,35.019753,-80.838444
99,H521,Elon Homes Park,11435 ARDREY KELL RD,11435, ,ARDREY KELL,RD, ,CHARLOTTE,NC,28277,Regional,General,Developed,South,,,,9803141003,,,District 7,District 6,1998/10/06 00:00:00+00,,,1447621.319,468246.0488,Mecklenburg,35.022679,-80.844932
12,BAIL,Bailey Road Park,11536 BAILEY RD,11536,,BAILEY,RD,,CORNELIUS,NC,28031,Town Park,General,Developed,North,,,,7048926031,,,,District 1,,,,1450841,629579.9999,Cornelius,35.46587,-80.844422
229,HAYP,Haymarket Nature Preserve,11634 BROOKSHIRE BV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 1,2003/07/11 00:00:00+00,,,1415200.687,584912.5716,Mecklenburg,35.342724,-80.962842
231,HORT,Horticultural Maintenance Facility,11826 MALLARD CREEK RD,11826, ,MALLARD CREEK,RD, ,CHARLOTTE,NC,28269,Operational,Misc,Operational,North,,,,9803141001,,,District 4,District 3,1998/08/12 00:00:00+00,,,1476341.765,589065.7948,Mecklenburg,35.355969,-80.756136
52,FLTB,Flat Branch Park,11830 TOM SHORT RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Community,General,Developed,South,,,,9803141003,,,District 7,District 6,1998/10/06 00:00:00+00,,,1463068.514,476440.5535,Mecklenburg,35.046637,-80.794742
217,FBNP,Flat Branch Nature Preserve,11833 TOM SHORT RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Nature Preserve,General,Developed,South,,,,9803141003,,,District 7,District 6,2007/02/08 00:00:00+00,,,1463138.029,476484.2369,Mecklenburg,35.045791,-80.792855
94,HAPK,Huntersville Athletic Park,11836 VERHOEFF DR,0, , , , ,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,1975/01/01 00:00:00+00,,,1450108.385,602332.909,Huntersville,35.391525,-80.843405
108,HARC,Huntersville Athletic Recreation Center,11836 VERHOEFF DR,11836,,VERHOEFF,DR,,HUNTERSVILLE,NC,28078,Recreation Center,RecCenter,Developed,North,,,,7044645520,,,,District 1,,,,1450524.521,602604.4424,Huntersville,35.391525,-80.843405
276,MTLD,Rozzelles Ferry Nature Preserve,11840 MOUNTAIN ISLAND BROOK LN,11840, ,MOUNTAIN ISLAND BROOK,LN, ,CHARLOTTE,NC,28214,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 1,2014/05/23 00:00:00+00,,,1412864.096,587349.7959,Mecklenburg,35.348255,-80.969171
62,BRRC,Bailey Road Recreation Center,11900 BAILEY RD,11900,,BAILEY,RD,,CORNELIUS,NC,28031,Recreation Center,RecCenter,Developed,North,,,,7048926031,,,,District 1,,,,1453247.659,630099.8807,Cornelius,35.467631,-80.837523
214,STMP,Stumptown Park,120 S TRADE ST,120,S,TRADE,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1484623.541,501289.9199,Matthews,35.115543,-80.723561
203,CREW,Crews Recreation Center,1201 CREWS RD,1201,,CREWS,RD,,MATTHEWS,NC,28105,Recreation Center,RecCenter,Developed,South,,,,7043217275,,,,District 6,,,,1485539.268,504885.0689,Matthews,35.125299,-80.720804
165,FRAZ,Frazier Park,1201 W 4TH ST EXT,1201,W,4TH,ST,EX,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 4,1998/07/28 00:00:00+00,,,1445548.778,545017.7281,Mecklenburg,35.232566,-80.857935
5,AMSG,Alexander Middle School Gymnasium,12010 HAMBRIGHT RD,12010,,HAMBRIGHT,RD,,HUNTERSVILLE,NC,28078,Recreation Center,RecCenter,Developed,North,,,,7047662220,,,,District 1,,,,1452055.592,596972.0006,Huntersville,35.376014,-80.838061
182,TMCW,T.M. Winget Park,12025 WINGET RD,12025, ,WINGET,RD, ,CHARLOTTE,NC,28278,Regional,General,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1401277.841,508885.5819,Mecklenburg,35.131952,-81.002439
277,EALD,Eagles Landing Park,1204 EAGLES LANDING DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Neighborhood,General,Developed,North,,,,9803141001,,,District 3,District 2,2003/07/11 00:00:00+00,,,1425159.716,559031.7724,Mecklenburg,35.270573,-80.926258
29,CMGP,Camp Greene Park,1221 ALLEGHANY ST,1221, ,ALLEGHANY,ST, ,CHARLOTTE,NC,28208,Community,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1435535.911,546692.186,Mecklenburg,35.236989,-80.887821
216,WGRC,T.M. Winget Recreation Center,12235 WINGET RD,0, , , , ,CHARLOTTE,NC,28278,Recreation Center,RecCenter,Developed,South,,,,9803141103,,,District 3,District 2,1994/10/17 00:00:00+00,,,1401928.452,508402.4325,Mecklenburg,35.13074,-81.000474
95,REVC,Revolution Park Sports Academy,1225 REMOUNT RD,1225, ,REMOUNT,RD, ,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Developed,Central,,,,9803141116,,,District 3,District 2,1998/07/28 00:00:00+00,,,1438886.595,538088.9034,Mecklenburg,35.21373,-80.878589
64,MART,McDowell Arts Center,123 E MCDOWELL ST,123,E,MCDOWELL,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7048479746,,,,District 6,,,,1484770.686,500742.6752,Matthews,35.113705,-80.722849
242,GRNP,Greenville Park,1232 SPRING ST,1401, ,POLK,ST, ,CHARLOTTE,NC,28206,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1449720.394,549291.0382,Mecklenburg,35.245097,-80.842869
300,LNCM,Lake Norman Charter Middle School Gymnasium,12435 OLD STATESVILLE RD,12435,,OLD STATESVILLE,RD,,HUNTERSVILLE,NC,28078,Recreation Center,RecCenter,Developed,North,,,,7047662220,,,,District 1,,,,1452996.215,602281.2067,Huntersville,35.390173,-80.835879
179,SHRM,Sherman Branch Nature Preserve,12501 ROCKY RIVER CHURCH RD,0, ,NO ADDRESS, , ,MINT HILL,NC,28215,Nature Preserve,General,Developed,North,,,,9803141001,,,,District 4,1998/10/06 00:00:00+00,,,1512680.496,545396.3159,Mecklenburg,35.237409,-80.632294
72,LNCH,Lake Norman Charter High School Gymnasium,12701 OLD STATESVILLE RD,12701,,OLD STATESVILLE,RD,,HUNTERSVILLE,NC,28078,Recreation Center,RecCenter,Developed,North,,,,7047662220,,,,District 1,,,,1452873.813,602745.9676,Huntersville,35.393081,-80.836068
286,MBTL,Mary Beaty Tot Lot,128 S MAIN ST,128,S,MAIN,ST,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1449576.109,641448.4585,Davidson,35.498396,-80.849113
51,ABBT,Abbott Park,1300 SPRUCE ST,1300, ,SPRUCE,ST, ,CHARLOTTE,NC,28203,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,2007/09/13 00:00:00+00,,,1441233.649,538472.5893,Mecklenburg,35.214707,-80.871224
293,PROG,Progress Park,1301 PARKWOOD AV,1301, ,PARKWOOD,AV, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 3,1998/07/28 00:00:00+00,,,1458838.967,544717.0293,Mecklenburg,35.233365,-80.812472
18,PNVP,Pineville Park,1310 LAKEVIEW DR,0, ,NO ADDRESS, , ,PINEVILLE,NC,28134,Community,General,Undeveloped,South,,,,9803141003,,,,District 6,1998/09/18 00:00:00+00,,,1431565.441,488079.8865,Mecklenburg,35.076447,-80.903971
283,SHLD,Sheffield Park,1311 TARRINGTON AV,1311, ,TARRINGTON,AV, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1472235.77,534645.3593,Mecklenburg,35.206368,-80.768059
117,RRAP,River Run Athletic Park,13130 ROBERT WALKER DR,13130,,ROBERT WALKER,DR,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1458398.859,633774.5646,Davidson,35.477767,-80.818196
41,LSCG,Little Sugar Creek Community Garden,1319 N ALEXANDER ST,1319,N,ALEXANDER,ST,,CHARLOTTE,NC,28206,Community Garden,Garden,Developed,Central,,,,9803141000,,,District 1,District 3,2018/08/24 00:00:00+00,,,1455765.753,544551.4336,Mecklenburg,35.23259,-80.822566
325,PUHU,Purser-Hulsey Park,13201 PHILLIPS RD,13201,,PHILLIPS,RD,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1496345.922,506074.6226,Matthews,35.128799,-80.684581
209,BRMS,Bradley Middle School,13345 BEATTIES FORD RD,13345,,BEATTIES FORD,RD,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1426810.056,604835.7067,Huntersville,35.396775,-80.924426
47,EVER,Evergreen Nature Preserve,1336 NORLAND RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28205,Nature Preserve,General,Developed,South,,,,9803141003,,,District 5,District 4,1998/12/14 00:00:00+00,,,1468972.751,535558.5032,Mecklenburg,35.208311,-80.77761
218,BESG,Barnette Elementary School Gymnasium,13659 BEATTIES FORD RD,13659,,BEATTIES FORD,RD,,HUNTERSVILLE,NC,28078,Recreation Center,RecCenter,Developed,North,,,,7047662220,,,,District 1,,,,1426486.266,606130.4656,Huntersville,35.399909,-80.924846
272,CANP,Richard Barry Memorial Park,13707 BEATTIES FORD RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,2002/04/03 00:00:00+00,,,1426544.381,606545.5214,Huntersville,35.400801,-80.927536
91,CLKD,Eastfield Park,13729 EASTFIELD RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Regional,General,Undeveloped,North,,,,9803141001,,,District 4,District 1,1998/10/09 00:00:00+00,,,1470575.237,602282.2271,Mecklenburg,35.395924,-80.778817
234,DBWC,David B. Waymer Recreation & Senior Center,14008 HOLBROOKS RD,14008,,HOLBROOKS,RD,,HUNTERSVILLE,NC,28078,Recreation Center,RecCenter,Developed,North,,,,7047662220,,,,District 1,2020/06/01 10:35:46+00,,,1453025.514,605191.3804,Huntersville,35.398851,-80.835472
326,ARMY,Armory Training Center,1418 ARMORY DR,1418,,ARMORY,DR,,CHARLOTTE,NC,28204,Operational,Misc,Operational,Central,,,,7043362802,,,District 1,District 4,1997/09/29 00:00:00+00,,,1454807.168,539005.2424,Mecklenburg,35.216772,-80.825454
128,DBWP,David B. Waymer Park,14200 HOLBROOKS RD,302, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,2003/07/11 00:00:00+00,,,1453280.177,605295.32,Huntersville,35.398899,-80.834378
183,PRES,Pressley Road Park,1431 PRESSLEY RD,1431, ,PRESSLEY,RD,NO,CHARLOTTE,NC,28217,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1434818.714,531932.1646,Mecklenburg,35.196927,-80.891322
136,RHMG,Robert Heywood Morrison Garden,1445 HARDING PL,1445, ,HARDING,PL, ,CHARLOTTE,NC,28204,Flower Garden,Garden,Developed,Central,,,,9803141002,,,District 1,District 4,,,,1451247,535080.9999,Mecklenburg,35.206289,-80.837186
332,OEHP,Oehler Nature Preserve,14511 HUNTERSVILLE-CONCORD RD,0, , , ,NO,CHARLOTTE,NC,28078,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 1,2003/07/11 00:00:00+00,,,1463392.242,610821.6574,Mecklenburg,35.401071,-80.869457
222,TCES,Torrence Creek Elementary School,14550 RANSON RD,14550,,RANSON,RD,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1441909.03,610500.3947,Huntersville,35.412102,-80.872591
290,TCEM,Torrence Creek Elementary Multipurpose Room,14550 RANSON RD,14550,,RANSON,RD,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1441886.374,610058.6416,Huntersville,35.412102,-80.872591
171,ENDP,Enderly Park,1501 ENDERLY RD,1501, ,ENDERLY,RD, ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1437471.946,547784.5067,Mecklenburg,35.240008,-80.882809
280,TSRC,Tom Sykes Recreation Center,1501 EUCLID AV,1501, ,EUCLID,AV, ,CHARLOTTE,NC,28203,Recreation Center,RecCenter,Developed,Central,,,,9803141113,,,District 1,District 4,2007/02/08 00:00:00+00,,,1446771.103,537409.2358,Mecklenburg,35.212386,-80.852208
305,LCCP,L.C. Coleman Park,1501 MCDONALD ST,1501, ,MCDONALD,ST, ,CHARLOTTE,NC,28216,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,1998/11/06 00:00:00+00,,,1444327.015,554187.1161,Mecklenburg,35.257224,-80.861034
228,COOK,Cook Park,15010 ERVIN COOK RD,0, , , ,NO,HUNTERSVILLE,NC,28078,Town Park,General,Undeveloped,North,,,,7047662220,,,,District 1,2005/12/08 00:00:00+00,,,1435257.208,613461.8705,Huntersville,35.421051,-80.895183
105,WADD,Waddell Street Park,1505 WADDELL ST,1505, ,WADDELL,ST, ,CHARLOTTE,NC,28216,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1448839.995,552887.3995,Mecklenburg,35.254451,-80.846122
32,CLAN,Clanton Park,1520 CLANTON RD,1520, ,CLANTON,AV, ,CHARLOTTE,NC,28217,Community,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1434491.148,536050.465,Mecklenburg,35.20712,-80.89183
158,ARGC,Arbor Glen Outreach Center,1520 CLANTON RD,1520, ,CLANTON,RD, ,CHARLOTTE,NC,28217,Recreation Center,RecCenter,Developed,Central,,,,9803141110,,,District 3,District 2,2002/04/03 00:00:00+00,,,1434541.767,535919.8546,Mecklenburg,35.20712,-80.89183
252,JATC,Jeff Adams Tennis Center,1520 W TYVOLA RD,1200,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,Tennis Center,Sports,Developed,South,,,,7045293273,,,District 3,District 2,1998/07/28 00:00:00+00,,,1430324.924,522928.3603,Mecklenburg,35.172212,-80.903279
6,COPP,Copperhead Island,15200 SOLDIER RD,15200, ,SOLDIER,RD, ,CHARLOTTE,NC,28278,Nature Preserve,General,Developed,South,,,,9803141003,,,,District 2,1998/07/28 00:00:00+00,,,1394440.26,501026.6419,Mecklenburg,35.108454,-81.025089
49,MCDL,McDowell Nature Preserve,15222 YORK RD,15222, ,YORK,RD, ,CHARLOTTE,NC,28278,Nature Preserve,General,Developed,South,,,,9803141128,,,,District 2,1998/07/28 00:00:00+00,,,1394705.428,495414.2011,Mecklenburg,35.0961,-81.023137
324,MDNC,McDowell Nature Center,15222 YORK RD,15222,S,YORK,RD, ,CHARLOTTE,NC,28278,Nature Center,General,Developed,South,,,,9803141128,,,,District 2,2016/07/06 00:00:00+00,,,1395753.308,497445.4699,Mecklenburg,35.0961,-81.023137
243,RGLF,Harry L. Jones Sr. Golf Course,1525 W TYVOLA RD,1525,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,Golf Course,Golf,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1429241.28,524383.1284,Mecklenburg,35.174024,-80.910699
111,PALI,York Road Palisades Park,15321 YORK RD,0, , , , ,CHARLOTTE,NC,28278,Neighborhood,General,Developed,South,,,,9803141003,,,,District 6,2015/07/07 00:00:00+00,,,1394552.993,495279.6432,Mecklenburg,35.0937,-81.02612
70,RSPK,Renaissance Park,1536 W TYVOLA RD,1536,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,Regional,General,Developed,South,,,,9803141003,,,District 3,District 2,2002/02/01 00:00:00+00,,,1429340.235,524412.7907,Mecklenburg,35.179826,-80.908716
28,DBWF,David B. Waymer Aeromodeller Park,15401 HOLBROOKS RD,15401, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,Regional,General,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1458548.653,606108.8939,Mecklenburg,35.401907,-80.816966
23,STVC,Stevens Creek Nature Center,15700 THOMPSON RD,15700,,THOMPSON,RD,,MINT HILL,NC,28227,Nature Center,General,Developed,South,,,,9803142526,,,,District 6,2020/06/01 11:04:56+00,,,1508713.554,511563.5478,Mecklenburg,35.144321,-80.645269
90,STVN,Stevens Creek Nature Preserve,15700 THOMPSON RD,0, ,NO ADDRESS, , ,MINT HILL,NC,28227,Nature Preserve,General,Developed,South,,,,9803141003,,,,District 6,1998/10/06 00:00:00+00,,,1507866.416,512614.9737,Mecklenburg,35.144321,-80.645269
271,BLYT,Blythe Landing Park,15901 N C 73 HY,15901, ,NC 73,HY, ,HUNTERSVILLE,NC,28078,Community,General,Developed,North,,,,9803141001,,,,District 1,2007/09/11 00:00:00+00,,,1432786.65,618983.9881,Mecklenburg,35.433614,-80.907157
312,JRNP,Jetton Road Neighborhood Park,16000 JETTON RD,16000,,JETTON,RD,,CORNELIUS,NC,28031,Town Park,General,Developed,North,,,,7048926031,,,,District 1,,,,1422973.346,633131.2948,Cornelius,35.474232,-80.939099
255,LTRC,Robert L. Smith Park,1604 LITTLE ROCK RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Regional,General,Developed,North,,,,9803141001,,,District 3,District 2,1998/09/02 00:00:00+00,,,1420685.098,553808.957,Mecklenburg,35.257248,-80.944458
80,NMPK,North Mecklenburg Park,16131 OLD STATESVILLE RD,16131, ,OLD STATESVILLE,RD, ,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,1998/07/28 00:00:00+00,,,1450832.798,617750.0735,Huntersville,35.436314,-80.848503
190,SQLP,Squirrel Lake Park,1631 PLEASANT PLAINS RD,1631,,PLEASANT PLAINS,RD,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1484177.349,495114.8623,Matthews,35.099616,-80.72288
30,RVRP,Riverside Drive Park,1640 RIVERSIDE DR,0, , , ,NO,CHARLOTTE,NC,28214,Community,General,Undeveloped,North,,,,9803141001,,,,District 1,2017/01/10 00:00:00+00,,,1408142.75,576874.0834,Mecklenburg,35.318441,-80.984808
310,WHIT,White Park,16500 DAVIDSON-CONCORD RD,0, , , ,NO,DAVIDSON,NC,28078,Town Park,General,Undeveloped,North,,,,7048923349,,,,District 1,2008/04/21 00:00:00+00,,,1469411.522,621889.8666,Davidson,35.447206,-80.781912
107,NATM,Discovery Place Nature Museum,1658 STERLING RD,1658, ,STERLING,RD, ,CHARLOTTE,NC,28209,Museum,Museum,Developed,Central,,,,7043726261,,,District 1,District 5,1998/07/28 00:00:00+00,,,1449490.063,528492.2097,Discovery Place,35.188191,-80.843754
285,CDHP,R.C. Bradford Park,17005 DAVIDSON-CONCORD RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,2007/07/09 00:00:00+00,,,1466888.484,622859.8956,Huntersville,35.448535,-80.790803
174,BRYT,Bryant Park,1701 W MOREHEAD ST,1701,W,MOREHEAD,ST, ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,2002/03/18 00:00:00+00,,,1441724.342,543159.2186,Mecklenburg,35.227007,-80.870392
19,UNIV,University Meadows Park,1705 PAVILION BV,0, , , ,NO,CHARLOTTE,NC,28262,Neighborhood,General,Undeveloped,North,,,,9803141001,,,District 4,District 3,1998/07/28 00:00:00+00,,,1489071.062,573532.3495,Mecklenburg,35.313542,-80.713158
149,KING,Wilmore Centennial Park at Southend,1711 S TRYON ST,1711,S,TRYON,ST, ,CHARLOTTE,NC,28203,Neighborhood,General,Undeveloped,Central,,,,9803141002,,,District 3,District 2,2012/05/17 00:00:00+00,,,1444332.626,538160.8159,Mecklenburg,35.214314,-80.860372
93,SVCT,Southview Recreation Center,1720 VILMA ST,1720, ,VILMA,ST, ,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Developed,Central,,,,9803141105,,,District 3,District 2,1999/04/29 00:00:00+00,,,1427424.507,537420.9466,Mecklenburg,35.211345,-80.916885
35,STHW,Southwest Park,1729 VILMA ST,1729, ,VILMA,ST,NO,CHARLOTTE,NC,28203,Community,General,Developed,Central,,,,9803141002,,,District 3,District 2,1999/04/01 00:00:00+00,,,1427454.676,537079.5333,Mecklenburg,35.210758,-80.916509
